Статус;Дата изменения;Полное название организации;Наименование социальной задачи;Выберите направление социальной задачи ( До 3х напрвлений);Опишите социальную задачу, которую должен решить обучающийся, и как эта задача связана с деятельностью организации;Опишите целевую аудиторию благополучателей решаемой социальной задачи;Опишите предполагаемый механизм действий в ходе выполнения социальной задачи;Желаемый продукт по итогам выполнения социальной задачи;C10;C11;C12;C13
Отклонена;2025-06-06;Анапский филиал ФГБОУ Московский педагогический государственный университет@;Финансовая грамотность населения среди детей дшкольного, школьного возрастов и студентов СПО;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;Метод «Обучение через служение» представляет собой инновационный подход, сочетающий академическое образование с активным участием в общественно полезных проектах.  Студенты, следуя этому подходу, не только решают актуальные социальные задачи, но и развивают навыки гражданской ответственности, формируя ценности, связанные с позитивными изменениями в обществе.  В отличие от классического волонтерства, «Обучение через служение» глубоко интегрируется в учебный процесс, предполагает системное взаимодействие с некоммерческим сектором и социальными партнерами, а результаты деятельности студентов включаются в их портфолио и диплом.  В сентябре 2023 года данный проект был запущен в пилотном режиме в 62 регионах страны, охватив 126 университетов и один колледж.  Основные принципы метода:  1. «Социальное проектирование»: создание и реализация проектов, направленных на решение значимых общественных проблем и достижение реальных изменений.  2. «Связь с учебной программой»: каждый проект тесно связан с учебной дисциплиной и профессиональной подготовкой студентов.  3. «Рефлексия»: Анализ и обсуждение студентов собственного опыта, влияния на их мировоззрение и связь с будущей профессией.  4. «Гражданское сознание»: развитие чувства гражданской ответственности, солидарности и стремления к вкладу в развитие общества.  5. «Менторская поддержка»: комплексная поддержка студентов, включающая предоставление свободы для самостоятельной работы и активное наставничество.  Преподаватели, в зависимости от сложности проектов и уровня подготовки студентов, могут варьировать свою роль от наставника, обеспечивающего максимальную самостоятельность, до руководителя, обеспечивающего четкую организацию и достижение поставленных целей.;"Целевая аудитория в связи с запросами партнеров была поделена на следующие категории: 1.	Дети дошкольного возраста (детские сады). 2.	Дети начальной школы гимназии «Аврора». 3.	Обучающиеся с 6 по 9 классы школ г. Анапа. 4.	Студенты Анапского филиала МПГУ.";"Для работы в Проекте имеется команда из студентов разных специальностей отделения колледж:  •	Преподавание в начальных классах •	Дошкольное образование •	Юриспруденция •	Экономика и бухгалтерский учет (по отраслям) •	Торговое дело •	Информационные системы и программирование. Реализация Проекта проводится  в соответствии с Планом работы, согласованным с партнёрами, который четко определяет даты проведения, темы. Работа в Проектной деятельности позволяет участникам Проекта соблюдать принципы подхода «Обучение служением». Изучение лекционного материала и внедрение его на практических занятиях позволяют не только самим особо изучить материал, но и погрузиться в педагогическую профессию и стать самому  учителем, преподавателем. Методы реализации финансового просвещения проводятся в следующих форматах? •	Просветительские лекции-викторины •	Квесты •	Интеллектуальные игры •	Баттлы •	Конкурсы рисунков •	Анкетирование / тестирование. •	Настольные игры Для каждой категории участников разрабатываются наглядные материалы, раздаточный материал, система поощрения. Проектная деятельность как способ внедрения и реализации в учебном процессе образовательного подхода «Обучение служением» доказала свою эффективность, что подтверждают многочисленные запросы о сотрудничестве с образовательными организациями МО г-к Анапа. Запрос о взаимодействии от партнеров подтверждает эффективность реализации проектной деятельности, которые решают социальные задачи.   Например, детские сады МО г-к Анапа просят проводить уроки по финансовой грамотности, конкурсы рисунков для усвоения материала. Для начальной школы гимназии «Аврора» был разработан студентами виртуальный помощник мальчик Витя, который помогал ребятам узнать особенности накопления, виды инвестиций, обязательные расходы и доходы семьи. Для молодежи от 14 лет больше проводились интеллектуальные игры-викторины «Своя игра», «Кто захочет стать миллионером?», образовательный форум «Финансовая траектория».  За два годы работы отряда волонтеры становились неоднократно победителями премии главы МО г-к Анапа, обладателями стипендии Губернатора Краснодарского края, победителями краевой олимпиады по финансовой грамотности, призерами во Всероссийских конференциях. Волонтеры имеют многочисленные благодарности, грамоты за эффективность проведения просветительских уроков по финансовой грамотности. Конечно, огромную роль играет наставник Проекта, который ведет работу от начала и до конца.";Повышение уровня финансовой грамотности;;;;
Отклонена;2025-06-06;"Муниципальное общеобразовательное бюджетное учреждение """"Средняя общеобразовательная школа №35"""" городского округа """"город Якутск""""";Организация культурно-досуговой деятельности для обучающихся в условиях инклюзивного образовательного пространства в том числе для детей, находящихся на длительном стационарном лечении;"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями; Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения";Проведение внеурочных мероприятий с целью развития социализации и коммуникативных жизненных компетенций для обучающихся в условиях инклюзивного образовательного пространства в том числе для детей, находящихся на длительном стационарном лечении;обучающиеся в условиях инклюзивного образовательного пространства в том числе для дети, находящихся на длительном стационарном лечении;1. Заключение договора о сотрудничестве образовательных учреждений 2. Составление плана культурно-досуговых мероприятий 3. Проведение и анализ мероприятий;студенты привнесут дополнительный вклад в работу, направленную на социализацию и адаптацию детей с особыми образовательными потребностями в сфере коммуникации, культурно-эстетического и творческого воспитания;;;;
Отклонена;2025-06-06;Автономная некоммерческая организация «Агентство по сохранению и развитию объектов исторической среды Нижегородской области»;Перевод экскурсии знакомства с восстановленными домами для иностранной аудитории на английский язык;Культура. Проекты, связанные с организацией выставок, культурных событий, исследованиями в области искусства и культурного наследия;Наша организация занимается восстановлением культурного наследия в городе. Наша экскурсия направлена на знакомство людей с нашим проектом, а также для привлечения внимания к сохранению зданий. Обучающиеся должны перевести текст данной экскурсии, чтобы иностранные посетители поняли и захотели принять участие в других мероприятиях нашего проекта.;Иностранные туристы, студенты, которые приехали сюда по обмену;Адаптация русского текста для перевода, перевод текста;Качественный перевод, который будет понятен людям;;;;
Отклонена;2025-06-06;Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский государственный университет путей сообщения»;«Рабочий день в университете»;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;"Проект направлен на улучшение организации труда и повышение эффективности работы отделов с помощью проведение фотографии рабочего дня (ФРД) сотрудников вспомогательных подразделений университета силами студентов профиля «Экономика труда» Цели: 1. выявить потери времени и нерациональные затраты труда; 2. оценить степень свойственности выполняемых функций и задач должностной инструкции сотрудника; 3. оценить эффективность работы конкретных сотрудников.";Руководство ИрГУПС;"1. Подготовка к проведению ФРД: - издание приказа по проведению ФРД; - ознакомление с приказом лиц ответственных за проведение ФРД и лиц, у которых будет проведена ФРД. 2. Проведение ФРД. 3. Обработка ФРД. 4. Разработка должностной инструкции по результатам анализа ФРД.";Проект станет важным вкладом в реализацию мероприятий по повышению эффективности использования трудовых ресурсов.;;;;
Отклонена;2025-06-06;"Конструкторское бюро """"КаМКон"""" в составе Потребительского кооператива индивидуальных застройщиков (ПКИЗ""""Радуга"""")";Организация мини-заводов по изготовлению домокомплектов для ИЖС;Архитектура. Проекты, связанные с созданием архитектурных концепций, реконструкцией и реставрацией, дизайном архитектурной среды;"Добровестно использовать  единую технологию ""Каркасно-модульный конструктор"" в сфере ИЖС  на основе требований  Национального Стандарта ГОСТ Р 58408-2017 на платформе инновационного развития БРИКС  в соответствии положениями Международного Стандарта IPM.1.001-2020.";Индивидуальные застройщики и жилищно-строителные кооператива в сельской местности, использующие для строительства индивидуального жилого дома собственные и заёмные средства с привлечением на договорных условиях самозанятых профессионалов-строителей.;"Алгоритм выполнения задачи подробно описан в  инновационном проекте ""ТРАНСФЕР технологии ""КаМКон"" в сельские регионы РФ"", который был успешно реализован в Ленинградской, Ярославской, Московской и Владимирской областях в период с 2011 по 2018 годы авторским коллективом КБ""КаМКон"".";"В связи с тем, что Глава 77  изъята из Гражданского кодекса РФ в некоторых муниципалитетах  возникает  неопределённость в легитимном использовании прав на РИД авторского коллектива  в процессе проектирования и строительства индивидуальных жилых домов силами смих индивидуальных застройщиков с привлечением  наёмных бригад, которые зачастую нарушают строительные нормы и действующие ПЗЗ в конкретных поселениях.  Использование технологии ""КаМКон""  на  основе кооперации  с производителями конструкций и профессиональными архитекторами даёт наиболее желаемые результаты  при наименьших  финансовых затратах и устраняет риски нарушений действующего строительного законодательства в сфере ИЖС при дальнейшей эксплуатации построенного жилья.";;;;
Отклонена;2025-06-06;"АНО """"Эпицентр""""";Безопасность при приступах;"Здравоохранение и ЗОЖ. Проекты в области здравоохранения и здорового образа жизни, например, создание приложений для мониторинга здоровья, разработка программ тренировок и диет, разработка программ обследований и реабилитации, проведение исследований в области медицины и здоровья, создание концепции развития лечебного учреждения; Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Социальные исследования. Проекты, связанные с изучением социальных явлений и проблем, анализом данных и разработкой рекомендаций для улучшения социальной сферы";Обучающийся в своем регионе исследует проблему ознакомления пациентов с эпилепсией с правилами безопасности. Обучающийся пробует распространять памятку Минздрава РФ по безопасности при эпилепсии оффлайн и онлайн, оценивает эффективность.;Каждый 26 в своей жизни столкнется с эпилепсией. Кроме того другие хронические заболевания с приступами - болезни сердца, диабет, астма и просто пожилые люди требуют аналогичных правил безопасности. Это значит, что целевая аудитория со временем будет стремится к 100% населения, которое сейчас существует.;Кроме эксперимента с распространением памятки по безопасности обучающийся будет тренироваться отвечать на стандартные вопросы посетителей специализированного сообщества в соцсети вконтакте с помощью поиска и предоставленных алгоритмов.;Отчет о проделанной работе в своем регионе, городе, районе, а также в специализированном сообществе вконтакте;;;;
Отклонена;2025-06-06;"Муниципальное общеобразовательное бюджетное учреждение """"Средняя общеобразовательная школа №35"""" городского округа """"город Якутск""""";Организация культурно-досуговой деятельности для обучающихся в условиях инклюзивного образовательного пространства в том числе для детей, находящихся на длительном стационарном лечении;"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";1. Обучающийся на практике может применить полученные знания, умения, навыки и совершенствовать профессиональные компетенции в сфере инклюзивного образовательного пространства школы 2. Предложить свои идеи и рекомендации по вопросу проектирования организации культурно-досуговой деятельности для обучающихся в условиях инклюзивного образовательного пространства, в том числе для детей, находящихся на длительном стационарном лечении. 3. Провести внеурочные мероприятия, ориентированные на формирование жизненных компетенций, социализацию, развитию коммуникативных навыков для детей с особыми образовательными потребностями.;1. Обучающиеся в условиях инклюзивного образовательного пространства  2. Дети, находящихся на длительном стационарном лечении;"1.	Совместная разработка, планирование и согласование календарных культурно-досуговых мероприятий в процессе межведомственного взаимодействия партнерских отношений школы, университета, учреждения здравоохранения 2.	Проведение культурно-досуговых мероприятий, корректировка организационных изменений, с учетом социальных, возрастных, психофизических и индивидуальных особенностей, в том числе особых образовательных потребностей обучающихся 3.	Рефлексия и анализ проведенной работы.";Положительное влияние средовых культурно-досуговых факторов на общее развитие личности школьников с ОВЗ и на семью с ребёнком ОВЗ. Социализация, развитие коммуникативных навыков детей с особыми образовательными потребностями.;;;;
Отклонена;2025-06-16;"муниципальное автономное общеобразовательное учреждение """"Средняя общеобразовательная школа №99""""";Заместитель директора по ВР;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;"Военно-патриотический форум городов трудовой доблести — это масштабное мероприятие, направленное на укрепление патриотизма среди молодежи, сохранение исторической памяти и популяризацию трудовых подвигов советских людей во время Великой Отечественной войны. Форум объединит ребят Кемеровской области-Кузбасса, особенно тех городов, которым присвоено почетное звание ""Город трудовой доблести"". Форум будет включать различные форматы мероприятий: пленарные заседания, тематические секции, мастер-классы, кинопоказы, концерты, спортивные соревнования, экскурсии, различных интерактивные и творческих формы сохранения исторической памяти и развития бренда «Город трудовой доблести» и многое другое. Реализация проекта станет частью уроков истории и позволит закрепить изученный материал по истории своей страны, региона и города. Участниками форума становятся команды образовательных учреждений Кемеровской области -Кузбасса и ДНР (по возможности), молодежных движений, а также официальные лица муниципальных администраций.";"Учащиеся школ (5-11 классы) Кемеровской области-Кузбасса и ДНР. Социальные партнеры -Всероссийская организация ""Юные патриоты"", Школьный музей победы"", управление образованием Челябинской области, Школа №1 г. Ясиноватая (ДНР), ГБУ ""Гимназия №6 ГО Донецк"" (ДНР).";"В августе 2024 года мы стали участниками делегации Первого всероссийского молодежного патриотического форума городов трудовой доблести «Челябинск – ДНР. Герои Танкограда. Путь к Победе» в г. Челябинск, где представляли памятные места города Новокузнецка на бренд выставке. В ходе подготовки к поездке мы обнаружили, что наши сверстники достаточно мало знают о городах трудовой доблести воинской славы, да и  честно сказать о своём городе. Проведенный нами опрос среди подростков 11-17 лет, показал, что 32% интересуются краеведеньем и всего лишь 35% знают о звание «город трудовой доблести». Побывав на форуме и окунувшись в атмосферу царившую, мы поняли что такие мероприятия являются важным инструментом для объединения усилий общества в сохранении памяти о героическом прошлом и воспитании нового поколения патриотов. После форума у нас появилось много идей по продвижению бренда ""Город трудовой доблести"", в рамках работы форума у нас появилось много друзей из различных регионов нашей станы. В нашем регионе подобный мероприятий не проводилось, хотя в ходе заседания Парламента Кузбасса наш губернатор Илья Середюк отметил: «Наш регион — единственный в стране, где такое количество «Городов трудовой доблести». Это звание присваивается за значительный вклад жителей в достижение Победы в Великой Отечественной войне. Наша задача — донести до кузбассовцев, особенно для молодежи, каким огромным трудом наших земляков в то время ковалась Победа» (25.01.2024г). В то же время президент Владимир Владимирович Путин назвал одной из важнейших тем торжественных мероприятий в рамках 80-летия Победы — трудовой подвиг граждан страны. ""Сохранение памяти о трудовом подвиге наших земляков имеет для нас большое значение. Кузбасс внес весомый вклад в Победу своим ударным трудом.  Вовлечение детей и молодежи в организацию и реализацию проектной деятельности фестиваля осуществляется через несколько направлений: 1. Молодежный-школьный оргкомитет: • Создание школьного штаба из представителей образовательных учреждений • Распределение ответственности между участниками по направлениям работы • Проведение регулярных совещаний для координации действий 2. Проектные группы: • PR-группа (продвижение фестиваля, создание контента) • Техническая группа (подготовка оборудования, оснащение площадок) • Организационная группа (координация участников, волонтеров) • Контент- группа (разработка программ, сценариев мероприятий) 3. Конкурсные формы участия: • Конкурс проектных инициатив среди школьников Кузбасса- ДНР • Разработка собственных программных мероприятий • Участие в организации и работе тематических площадок • Презентация собственных проектных решений 4. Практическая деятельность: • Подготовка культурно-массовых мероприятий • Организация выставочных пространств • Координация работы с участниками • Техническое обеспечение мероприятий";1. Повышение уровня знаний учащихся о героическом прошлом России. 2. Формирование устойчивого интереса к военному делу и служению Отечеству.  3. Развитие командного духа, дисциплины и лидерских качеств среди детей. 4. повышение мотивации к изучению истории своей страны и своего региона 4. Создание устойчивых связей между школой, семьёй и общественностью. 5. Укрепление имиджа школы как центра патриотического воспитания.  Фестиваль  станет ярким событием в жизни школы, способствуя развитию духовно-нравственных качеств учащихся и воспитанию настоящих граждан своей страны. Мы верим, что каждый участник найдёт здесь своё место, будь то спорт, творчество или история, и продолжит двигаться к своей цели – стать достойным гражданином России!;;;;
Отклонена;2025-06-16;"Региональный штаб """"МЫВМЕСТЕ""""";"Региональный штаб ""МЫВМЕСТЕ"" помогает по всей Херсонской области";"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Решения для развития региона. Проекты по созданию и развитию инфраструктуры, улучшению условий жизни в регионе, разработке программ для поддержки социально-экономического развития; Другое";Популяризация платформы Добро.рф в Херсонской области. Привлечение молодежи в отряды добровольцев в разные общественные организации. Помощь военнослужащим, так как именно помощь жителей и молодежи Херсонской области поднимает дух и морально поддерживает военнослужащих на нашем направлении.;Молодежь от 14 до 35 лет в первую очередь. Все желающие от14 лет.;Проводятся мастер классы по плетению маскировочных сетей, заливу окопных свечей, нетухнущих спичек. Мастер классы по изготовлению оберегов , пишем письма воинам. Организовываем сбор и передачу гуманитарной помощи по всей области , для помощи военным их семьям и мирным. Участвуем в открытых общественных мероприятих от органов вуласти и министерств. На всех мероприятиях регистрирум молодежь и не только на Добро.рф и доносим важность этой платформы.;Максимальная регистрация населения Херсонской области от 14лет на Добро.рф. Увеличение количества добровольцев. Возможность выбора для молодежи своего направления , выбор общественной организации , где они смогут себя проявить и помогать в Херсонской области военным их семьям и мирным жителям. Развитие и процветание Херсонской области как важного субьекта в Российской федерации.;;;;
Отклонена;2025-06-16;"Муниципальное общеобразовательное бюджетное учреждение """"Средняя общеобразовательная школа №35"""" городского округа """"город Якутск""""";Организация культурно-досуговой деятельности для обучающихся в условиях инклюзивного образовательного пространства в том числе для детей, находящихся на длительном стационарном лечении;"Инклюзия. Проекты, направленные на создание условий для полноценного участия людей с ограниченными возможностями в общественной жизни, образовании и иных сферах; Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями";1. Провести культурно-досуговые мероприятия, ориентированные на развитие коммуникативных навыков для обучающихся в условиях инклюзивного образовательного пространства, в том числе для детей, находящихся на длительном стационарном лечении . 2. Повысить навыки взаимодействия со сверстниками, с малознакомыми им людьми в процессе культурно-досуговых мероприятий;Сотрудники организации, дети с ОВЗ в пространстве инклюзивного образования школы, дети-инвалиды, находящихся на длительном стационарном лечении.;Проект направлен на организацию и проведение культурно-досуговых мероприятий. Проект включает в себя проведение тематических конкурсов, праздников, внеурочных мероприятий. Таким образом аудитория узнает об особенностях обучения и социализации детей с ОВЗ, методиках и стратегиях обучения в разных условиях образовательной и медицинской организации.;Повышение осведомленности среди студентов о жизни детей с ОВЗ. Повышение у детей навыков взаимодействия со сверстниками, с малознакомыми им людьми.;;;;
Отклонена;2025-06-16;Федеральное государственное бюджетное образовательное учреждение высшего образования «Иркутский национальный исследовательский технический университет»;Популяризация экологического движения;Экология. Проекты, связанные с оценкой и мониторингом экосистем, разработкой устойчивых методов использования природных ресурсов и решением проблем экологического сохранения;"Продвижение «зеленой повестки» вместе с партнерами ассоциацией ""ЭкоМолодежь"" и Благотворительным фондом ""Подари планете жизнь""; журналистское сопровождение экологических акций.";Студенты вузов г. Иркутска;"Проведение партнёрской стратегической сессии; разработка предложений по продвижению ""зеленой повестки""; создание видеороликов об экологических практиках; публикация экологической информации в социальных сетях";"Организация действий направленных на продвижение ""зеленой повестки"" в ИРНИТУ, участие в совместных экологических мероприятиях ассоциации ""ЭкоМолодежь"", создание видеороликов, наполнение страницы ВКонтакте ""Огриневшие"" актуальной экологической информацией";;;;
Отклонена;2025-06-16;Государственное бюджетное образовательное учреждение Школа № 1329;Учимся вместе – проект помощи в изучении иностранных языков маломобильным учащимся и учащимся на домашнем обучении в связи с особенностями развития здоровья;Образование и просвещение. Проекты, связанные с созданием учебных программ, разработкой образовательных онлайн-платформ, технологическими инновациями для учебного процесса и педагогическими исследованиями;Обучающимся ГБОУ Школа 1329 с ограниченными возможностями здоровья помощь в освоении знаний по английскому языку при помощи студентов Педагогического направления университета МПГУ. Поскольку учащиеся с ОВЗ не могут посещать занятия в школе и развивать свои языковые навыки и углублять знания английского на уроках в группах, мы запрашиваем помощь у студентов Института международного образования МПГУ проводить для таких школьников занятия английским языком один на один по заполнению пробелов в знаниях и улучшению навыков устной и письменной речи на английском языке. Обучающиеся МПГУ могут отработать свои профессиональные педагогические умения и улучшить навыки индивидуальной работы с учеником, а ученики получат возможность развиваться по дисциплине «Иностранный язык (английский)», который освоить самостоятельно крайне трудно при наличии особенностей здоровья. Данный проект в первую очередь направлен на организацию таких занятий для маломобильных или ограниченных в передвижениях ученикам, а также ученикам на домашнем обучении дополнять своя знания и компенсировать отсутствие на уроках в школе.;Обучающиеся  4-11 классов ГБОУ Школа 1329 г. Москвы с ОВЗ и  находящимся на домашнем обучении.;Университет МПГУ предлагает всем обучающимся ГБОУ Школа 1329 г. Москвы заполнить анкету о своём желании дополнительно заниматься английским языком со студентами МПГУ. В течение недели после получения заявки через анкету с учеником надо будет связаться студентам Института и запланировать первое занятие. Занятия проводятся 2 раза в неделю на онлайн платформе. Входной уровень знания языка, учебники и образовательная траектория определяется на первом занятии обучающимся и предлагается ученику. В течение месяца после начала занятий, ученик (в случае достижения совершеннолетия) или его законный представитель (в случае недостижения совершеннолетия учеником) обязан заполнить согласие на обработку персональных данных и предоставить обучающемуся МПГУ. Занятия проводятся в течение 1 и 2 семестра учебного года обучающегося вуза и являются бесплатными.;При постоянном и регулярном проведении занятий с учеником обучающийся МПГУ берёт на себя ответственность поднять уровень знаний английского языка ученика минимум на одну ступень выше. При постановке задачи и установлении цели учеником обучающийся будет ориентироваться на неё индивидуально.;;;;
